domain,name,path,expires_utc,is_secure,is_httponly,creation_utc,expires_date,creation_date
.yahoo.com,A1,/,1.34316981787714E+016,True,True,1.34161461787714E+016,2026-08-20 19:16:18,2026-02-21 19:16:18
.yahoo.com,A1S,/,0,True,False,1.34161461787713E+016,Never,2026-02-21 19:16:18
.yahoo.com,A3,/,1.34316981792615E+016,True,True,1.34161461792615E+016,2026-08-20 19:16:19,2026-02-21 19:16:19
.google.com,AEC,/,1.34316981674881E+016,True,True,1.34161461674881E+016,2026-08-20 19:16:07,2026-02-21 19:16:07
www.bing.com,BCP,/,0,True,False,1.34161461788211E+016,Never,2026-02-21 19:16:18
.consent.yahoo.com,CFC,/,1.34316981784965E+016,True,False,1.34161461784965E+016,2026-08-20 19:16:18,2026-02-21 19:16:18
.yahoo.com,EuConsent,/,1.34162325787712E+016,False,False,1.34161461770213E+016,2026-02-22 19:16:18,2026-02-21 19:16:17
.yahoo.com,GUC,/,1.34316981787713E+016,True,False,1.34161461787713E+016,2026-08-20 19:16:18,2026-02-21 19:16:18
.c.bing.com,MR,/,1.34167509906227E+016,True,False,1.34161461893868E+016,2026-02-28 19:16:30,2026-02-21 19:16:29
.bing.com,MUID,/,1.34316981896227E+016,True,False,1.34161461772968E+016,2026-08-20 19:16:29,2026-02-21 19:16:17
.msn.com,MUIDB,/,1.34316981795692E+016,True,True,1.34161461795692E+016,2026-08-20 19:16:19,2026-02-21 19:16:19
bing.com,MUIDB,/,1.34316981772969E+016,False,True,1.34161461772969E+016,2026-08-20 19:16:17,2026-02-21 19:16:17
www.msn.com,MUIDB,/,1.34316981749557E+016,False,True,1.34161461749557E+016,2026-08-20 19:16:14,2026-02-21 19:16:14
www2.bing.com,MUIDB,/,1.34316981873708E+016,False,True,1.34161461873708E+016,2026-08-20 19:16:27,2026-02-21 19:16:27
.google.com,SOCS,/,1.34316981709455E+016,True,False,1.34161461701985E+016,2026-08-20 19:16:10,2026-02-21 19:16:10
.bing.com,SRCHD,/,1.34316981787023E+016,True,False,1.34161461787023E+016,2026-08-20 19:16:18,2026-02-21 19:16:18
.bing.com,SRCHUID,/,1.34316981787023E+016,True,False,1.34161461787023E+016,2026-08-20 19:16:18,2026-02-21 19:16:18
.bing.com,SRCHUSR,/,1.34316981846758E+016,True,False,1.34161461846758E+016,2026-08-20 19:16:24,2026-02-21 19:16:24
.msn.com,Web-User,/,1.34167509795691E+016,True,True,1.34161461795691E+016,2026-02-28 19:16:19,2026-02-21 19:16:19
www.bing.com,_C_Auth,/rewardsapp,0,False,False,1.34161461830451E+016,Never,2026-02-21 19:16:23
.bing.com,_EDGE_S,/,0,False,True,1.34161461772969E+016,Never,2026-02-21 19:16:17
.bing.com,_EDGE_V,/,1.34316981772969E+016,False,True,1.34161461772969E+016,2026-08-20 19:16:17,2026-02-21 19:16:17
.msn.com,_EDGE_V,/,1.34316981749558E+016,False,True,1.34161461749558E+016,2026-08-20 19:16:14,2026-02-21 19:16:14
.bing.com,_HPVN,/,1.34316981835945E+016,True,False,1.34161461835945E+016,2026-08-20 19:16:23,2026-02-21 19:16:23
.bing.com,_RwBf,/,1.34316981834588E+016,True,False,1.34161461834588E+016,2026-08-20 19:16:23,2026-02-21 19:16:23
.bing.com,_Rwho,/,0,True,True,1.34161461834588E+016,Never,2026-02-21 19:16:23
.bing.com,_SS,/,0,True,False,1.34161461834588E+016,Never,2026-02-21 19:16:23
.google.com,__Secure-BUCKET,/,1.34316981674898E+016,True,True,1.34161461674898E+016,2026-08-20 19:16:07,2026-02-21 19:16:07
.bing.com,ipv6,/,0,True,False,1.34161461873725E+016,Never,2026-02-21 19:16:27
www.msn.com,msal.cache.encryption,/,0,True,False,1.34161461894878E+016,Never,2026-02-21 19:16:29
www.msn.com,sptmarket,/,1.34316981749556E+016,False,False,1.34161461749556E+016,2026-08-20 19:16:14,2026-02-21 19:16:14
copilot.microsoft.com,BCP,/,1.34316989974428E+016,True,False,1.34161469974429E+016,2026-08-20 19:29:57,2026-02-21 19:29:57
